1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS1_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : GPS2_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CAM_MAX_ROLL, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CAM_AUTO_ONLY, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CAM1_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CAM2_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ARMING_REQUIRE, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ARMING_ACCTHRESH, Value : 0.75, Default : 0.75}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ARMING_RUDDER, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ARMING_MIS_ITEMS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ARMING_CHECK, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ARMING_OPTIONS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ARMING_MAGTHRESH, Value : 100.0, Default : 100.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY1_FUNCTION, Value : 1.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY1_PIN, Value : 13.0, Default : 13.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY1_DEFAULT, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY1_INVERTED, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY2_FUNCTION, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY3_FUNCTION, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY4_FUNCTION, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY5_FUNCTION, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RELAY6_FUNCTION, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : CHUTE_ENABLED, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND1_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND2_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND3_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND4_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND5_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND6_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND7_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND8_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND9_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFNDA_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RNGFND_LANDING, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_ENABLE, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_SPACING, Value : 100.0, Default : 100.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_OPTIONS, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_MARGIN, Value : 0.05000000074505806, Default : 0.05000000074505806}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_OFS_MAX, Value : 30.0, Default : 30.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TERRAIN_CACHE_SZ, Value : 12.0, Default : 12.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : ADSB_TYPE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : AVD_ENABLE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : Q_ENABLE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_PARAM, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_CHAN, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_CHAN_MIN, Value : 1000.0, Default : 1000.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_CHAN_MAX, Value : 2000.0, Default : 2000.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_SELECTOR, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_RANGE, Value : 2.0, Default : 2.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_MODE_REVERT, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : TUNE_ERR_THRESH, Value : 0.15000000596046448, Default : 0.15000000596046448}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL2SRV_TCONST, Value : 0.5, Default : 0.5}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL2SRV_RMAX, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_P, Value : 0.07999999821186066, Default : 0.07999999821186066}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_I, Value : 0.15000000596046448, Default : 0.15000000596046448}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_D, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_FF, Value : 0.3449999988079071, Default : 0.3449999988079071}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_IMAX, Value : 0.6660000085830688, Default : 0.6660000085830688}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_FLTT, Value : 3.0, Default : 3.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_FLTE, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_FLTD, Value : 12.0, Default : 12.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_SMAX, Value : 150.0, Default : 150.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_PDMX, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_D_FF, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_NTF, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : RLL_RATE_NEF, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH2SRV_TCONST, Value : 0.5, Default : 0.5}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH2SRV_RMAX_UP, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH2SRV_RMAX_DN, Value : 0.0, Default : 0.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH2SRV_RLL, Value : 1.0, Default : 1.0}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_P, Value : 0.03999999910593033, Default : 0.03999999910593033}
1970-01-01 03:00:01.76: PARM {TimeUS : 1765127, Name : PTCH_RATE_I, Value : 0.15000000596046448, Default : 0.15000000596046448}
